"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"2022F","AL","BYTCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","BYTCP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","CLACB"," 3422"," 759"," 705"," 629"," 704"," 715"," 677"," 559"," 523"," 422"," 420"," 311"," 252"," 164"," 111"," 35"," 16"," 11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","CLACK"," 25.215"," 25.179"," 25.168"," 25.133"," 25.098"," 24.992"," 24.829"," 24.653"," 24.63"," 24.325"," 23.543"," 23.215"," 23.098"," 23.145"," 22.976"," 22.997"," 23.447"," 23.466"," 23.817"," 24.032"," 24.119"," 24.219"," 24.2"," 24.142"," 24.284"," 24.387"," 24.618"," 24.795"," 24.641"," 24.393"," 24.679"," 24.581"," 24.643"," 24.536"," 24.656"," 24.848"," 24.785"," 24.679"," 24.875"," 24.875"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","CLACP"," 136"," 30"," 28"," 25"," 28"," 29"," 27"," 23"," 21"," 17"," 18"," 13"," 11"," 7"," 5"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","CLCAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 74.1"," 55.6"," 63.2"," 57.2"," 48.1"," 48.6"," 50.6"," 49.6"," 59.2"," 58.8"," 57.8"," 56.2"," 49.4"," 67.2"," 66.3"
"2022F","AL","CLCCB"," 2801"," 1930"," 3106"," 3273"," 1522"," 1051"," 1100"," 958"," 1010"," 1367"," 1339"," 1288"," 1613"," 1430"," 577"," 323"," 202"," 470"," 3353"," 2944"," 4331"," 1748"," 2467"," 2705"," 2812"," 2345"," 2452"," 2560"," 2975"," 1368"," 2059"," 336"," 1759"," 796"," 221"," 154"," 954"," 1596"," 204"," 524"," 1194"," 273"," 81"," 61"," 10"," 42"," 570"," 19"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","CLCCP"," 112"," 78"," 125"," 132"," 61"," 42"," 45"," 39"," 41"," 56"," 56"," 54"," 68"," 60"," 25"," 14"," 9"," 20"," 140"," 123"," 180"," 72"," 101"," 112"," 116"," 96"," 99"," 102"," 115"," 56"," 84"," 14"," 73"," 33"," 9"," 6"," 39"," 65"," 8"," 20"," 47"," 14"," 3"," 3"," 0"," 2"," 23"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2022F","AL","CLEIB"," 175259"," 200345"," 233102"," 255668"," 253455"," 298001"," 337357"," 327877"," 358868"," 365977"," 380738"," 357495"," 389135"," 429629"," 410144"," 400747"," 412962"," 435802"," 392228"," 444153"," 468503"," 468052"," 374650"," 411449"," 427931"," 519481"," 521961"," 507136"," 486602"," 534473"," 536617"," 578024"," 607891"," 670402"," 627361"," 684013"," 739554"," 718690"," 729588"," 744481"," 786188"," 739969"," 753149"," 775843"," 753426"," 799611"," 800642"," 806975"," 762110"," 571352"," 649866"," 586053"," 474066"," 488625"," 488647"," 424833"," 345578"," 316065"," 317234"," 268395"," 219945"," 270310"," 264511"
"2022F","AL","CLEIK"," 24.126"," 23.932"," 23.912"," 23.654"," 23.542"," 23.704"," 23.82"," 23.786"," 23.738"," 23.588"," 23.314"," 22.75"," 23.124"," 23.068"," 22.911"," 23.164"," 23.136"," 23.17"," 23.632"," 23.754"," 23.912"," 23.998"," 24.041"," 23.972"," 24.059"," 24.111"," 24.349"," 24.445"," 24.328"," 24.322"," 24.299"," 24.31"," 24.251"," 24.272"," 24.213"," 23.718"," 23.625"," 23.24"," 23.117"," 22.191"," 22.062"," 21.892"," 22.452"," 21.793"," 21.475"," 21.613"," 21.541"," 21.674"," 21.261"," 20.714"," 20.974"," 20.818"," 20.593"," 20.025"," 20.444"," 20.206"," 19.806"," 19.472"," 19.54"," 18.842"," 18.49"," 18.529"," 18.074"
